userId,age,gender,scentLover,ecoInterest,MrPropre,Antikal,Ariel,Dash,pods,powder,liquid,electricToothbrush,likesPets,hasPet,daysSinceActivity,nbChildren,magasin,moyenneSurface,superMarket,hyperMarket,drive,hardDiscount,labels
use_XbA1FTDcCrTMNTHK1851TzjyPMP,0.07792207792207792,1.0,0.0,0.3876767826848068,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9,1.0,0.23469387755102042,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1
use_3WHgsMVGSg5MHG2zja91TzdfmY2,0.6363636363636364,1.0,0.3802069143997395,0.6666666666666666,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.3,0.0,0.014913657770800628,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1
use_2SisOiR8QwDaHI4svm11TzcvK7V,0.35064935064935066,1.0,0.0,0.6666666666666666,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.9,1.0,0.09497645211930926,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1
use_W0T1LmfKaQPJYD1RTWh1Tzdc69H,0.22077922077922077,1.0,0.3333333333333333,0.3333333333333333,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9,1.0,0.2598116169544741,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0
use_KwYWZ7UMl4veveOaPGK1TzddtmI,0.2597402597402597,1.0,0.3802069143997395,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.9,1.0,0.11695447409733124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
use_OwO9hH8H8jgGRRpUpm41Tzdup7u,0.5194805194805194,0.0,0.3802069143997395,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.3092621664050236,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0
use_eL9xzLvFLB9ZCuPjndH1Tzdvr4H,0.16883116883116883,1.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.13736263736263737,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0
use_mPNSP3nEC4bTRGfncp71TzeOHjE,0.2857142857142857,1.0,0.6666666666666666,0.3876767826848068,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0423861852433281,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
use_R0taCoS7KhTLckGDVv71TzdaNOn,0.18181818181818182,1.0,0.0,0.3876767826848068,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.9,1.0,0.07849293563579278,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1
use_h4Mt2pWQVpWiotQ8W781TZU8QJo,0.09090909090909091,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.5,0.0,0.018838304552590265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
use_4MxXFT0pu3XAR6YWfmA1TzdJnWO,0.4675324675324675,1.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9,1.0,0.041601255886970175,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0
use_4rhx7tMU8jElzGn2Ddd1Tzdxbsx,0.24675324675324675,1.0,0.3333333333333333,0.3876767826848068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.13814756671899528,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1
use_hwo1eK8t5saSIhI6Ael1TzfrIiM,0.38961038961038963,1.0,0.3333333333333333,0.3876767826848068,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,0.0,0.12244897959183673,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0
use_qOH3WJUNDlWWq0a7yss1TzeBGFu,0.3246753246753247,0.0,0.0,0.3333333333333333,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.9,1.0,0.008634222919937205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
